,from_iso3,to_iso3,sector,trade_value
214,CHN,ARG,Wholesale Trade,14266179.279505812
215,CHN,ARM,Wholesale Trade,1204564.391800832
216,CHN,ASM,Wholesale Trade,3.159229752368641
217,CHN,ATG,Wholesale Trade,169792.72652007831
218,CHN,AUS,Wholesale Trade,28392797.57853772
219,CHN,AUT,Wholesale Trade,102107094.36744484
220,CHN,AZE,Wholesale Trade,2264050.3891872233
221,CHN,BDI,Wholesale Trade,270574.29716508434
222,CHN,BEL,Wholesale Trade,136340606.25691563
223,CHN,BEN,Wholesale Trade,742966.6034240626
224,CHN,BFA,Wholesale Trade,1987976.6036185264
225,CHN,BGD,Wholesale Trade,8397958.676098807
226,CHN,BGR,Wholesale Trade,4962315.67860191
227,CHN,BHR,Wholesale Trade,40796.13843682913
228,CHN,BHS,Wholesale Trade,849921.0504424758
229,CHN,BIH,Wholesale Trade,431993.5614801584
230,CHN,BLR,Wholesale Trade,415860.7775035767
231,CHN,BLZ,Wholesale Trade,233340.80509694503
232,CHN,BMU,Wholesale Trade,1364509.695663865
233,CHN,BOL,Wholesale Trade,1475681.8837272078
234,CHN,BRA,Wholesale Trade,45532210.6291047
235,CHN,BRB,Wholesale Trade,379442.6446576711
236,CHN,BRN,Wholesale Trade,1167.256696536232
237,CHN,BTN,Wholesale Trade,11865.350672323559
238,CHN,BWA,Wholesale Trade,78030.96194772277
239,CHN,CAF,Wholesale Trade,227892.6505183548
240,CHN,CAN,Wholesale Trade,88907178.21247558
241,CHN,CHE,Wholesale Trade,443503.23654117226
242,CHN,CHL,Wholesale Trade,28989250.063281275
243,CHN,CIV,Wholesale Trade,3892309.74749208
244,CHN,CMR,Wholesale Trade,1474835.3404460428
245,CHN,COD,Wholesale Trade,3770964.00942007
246,CHN,COG,Wholesale Trade,62724.66777864126
247,CHN,COK,Wholesale Trade,384.5083678200552
248,CHN,COL,Wholesale Trade,6905435.770269142
249,CHN,COM,Wholesale Trade,137656.72342606142
250,CHN,CRI,Wholesale Trade,1593064.0983983844
251,CHN,CUB,Wholesale Trade,6475.126913531198
252,CHN,CYM,Wholesale Trade,3467.9969973675547
253,CHN,CYP,Wholesale Trade,11251992.894123368
254,CHN,CZE,Wholesale Trade,28078478.652189355
255,CHN,DEU,Wholesale Trade,488522391.3294678
256,CHN,DJI,Wholesale Trade,165712.06120536642
257,CHN,DMA,Wholesale Trade,82942.40836369568
258,CHN,DNK,Wholesale Trade,196600135.56029332
259,CHN,DOM,Wholesale Trade,2859438.627449396
260,CHN,DZA,Wholesale Trade,7328052.533659237
261,CHN,ECU,Wholesale Trade,4322757.444446671
262,CHN,EGY,Wholesale Trade,18095356.698263045
263,CHN,ESH,Wholesale Trade,20180.59548620283
264,CHN,ESP,Wholesale Trade,136851779.59959054
265,CHN,EST,Wholesale Trade,6487933.919552754
266,CHN,ETH,Wholesale Trade,3914215.1650227895
267,CHN,EUX,Wholesale Trade,18863.797399854342
268,CHN,FIN,Wholesale Trade,31758276.51633562
269,CHN,FJI,Wholesale Trade,7.119020952057513
270,CHN,FRA,Wholesale Trade,285662181.2379366
271,CHN,FRO,Wholesale Trade,175275.05098602336
272,CHN,GAB,Wholesale Trade,134.9005443252654
273,CHN,GBR,Wholesale Trade,223792954.70481083
274,CHN,GEO,Wholesale Trade,1365958.2649448842
275,CHN,GHA,Wholesale Trade,28.30880702385499
276,CHN,GIB,Wholesale Trade,740830.6452462601
277,CHN,GIN,Wholesale Trade,544856.6571790706
278,CHN,GMB,Wholesale Trade,81919.42966753716
279,CHN,GNB,Wholesale Trade,66732.7786246201
280,CHN,GNQ,Wholesale Trade,3163.9829085810493
281,CHN,GRC,Wholesale Trade,55574494.92242562
282,CHN,GRD,Wholesale Trade,110925.85565277586
283,CHN,GTM,Wholesale Trade,2717352.434790349
284,CHN,GUF,Wholesale Trade,49.864211703252614
285,CHN,GUY,Wholesale Trade,251893.59448547426
286,CHN,HKG,Wholesale Trade,72635742.99860579
287,CHN,HND,Wholesale Trade,1404496.5738194385
288,CHN,HRV,Wholesale Trade,4780062.5591900535
289,CHN,HTI,Wholesale Trade,21818.92631603845
290,CHN,HUN,Wholesale Trade,21471589.77758807
291,CHN,IDN,Wholesale Trade,25686636.606387567
292,CHN,IND,Wholesale Trade,54457309.83269597
293,CHN,IRL,Wholesale Trade,13478342.969367215
294,CHN,IRN,Wholesale Trade,12971040.304611916
295,CHN,IRQ,Wholesale Trade,11762590.024603955
296,CHN,ISL,Wholesale Trade,4183638.8130276795
297,CHN,ISR,Wholesale Trade,20048460.19297591
298,CHN,ITA,Wholesale Trade,199170921.68945807
299,CHN,JAM,Wholesale Trade,1733190.392593154
300,CHN,JOR,Wholesale Trade,5104924.629431912
301,CHN,JPN,Wholesale Trade,218188327.6811364
302,CHN,KAZ,Wholesale Trade,5110878.722827172
303,CHN,KEN,Wholesale Trade,2234097.204962012
304,CHN,KGZ,Wholesale Trade,145284.31554558277
305,CHN,KHM,Wholesale Trade,1475097.6209493012
306,CHN,KNA,Wholesale Trade,185094.44797983085
307,CHN,KOR,Wholesale Trade,99602394.78294145
308,CHN,KWT,Wholesale Trade,13146805.482225133
309,CHN,LAO,Wholesale Trade,29.443926277588908
310,CHN,LBN,Wholesale Trade,4384880.829210458
311,CHN,LBY,Wholesale Trade,5700627.442888007
312,CHN,LCA,Wholesale Trade,198858.4774168389
313,CHN,LKA,Wholesale Trade,4966018.65820914
314,CHN,LSO,Wholesale Trade,156497.7855740975
315,CHN,LTU,Wholesale Trade,9248350.162797172
316,CHN,LUX,Wholesale Trade,10607636.658729717
317,CHN,LVA,Wholesale Trade,5064634.206246891
318,CHN,MAC,Wholesale Trade,850125.2844516019
319,CHN,MAR,Wholesale Trade,8668079.439927455
320,CHN,MDA,Wholesale Trade,733686.6538609334
321,CHN,MDG,Wholesale Trade,996895.1274912695
322,CHN,MDV,Wholesale Trade,385909.04533130204
323,CHN,MEX,Wholesale Trade,39158258.555815466
324,CHN,MHL,Wholesale Trade,40435.471683192816
325,CHN,MKD,Wholesale Trade,759918.973129292
326,CHN,MLI,Wholesale Trade,1478068.655458314
327,CHN,MLT,Wholesale Trade,2387092.9087023474
328,CHN,MMR,Wholesale Trade,1081.8071370131163
329,CHN,MNE,Wholesale Trade,370770.10958654963
330,CHN,MNG,Wholesale Trade,719989.9938494848
