,term,estimate,p.value,statistic,std.error
176,factor(from_country)VNM,4.65512908835,1.72308694448e-244,33.4319663623,0.139241857266
177,factor(from_country)VUT,1.9071935997,3.69836487265e-12,6.94860948787,0.274471259758
178,factor(from_country)WSM,0.970463721783,0.000117383898699,3.8515897827,0.251964455338
179,factor(from_country)YEM,0.813262063032,6.79670008919e-07,4.9672170742,0.163725895382
180,factor(from_country)ZAF,3.9347895304,3.72648181544e-185,29.0450428716,0.135471982183
181,factor(from_country)ZMB,1.01902792851,7.68035884142e-10,6.15164513321,0.165651286191
182,factor(from_country)ZWE,1.79078669157,6.15735035024e-31,11.5672018527,0.154815893626
183,mindist,-0.281027190959,0.0,-177.371953536,0.00158439474424
184,log(x_j),0.94352952668,0.0,274.826571748,0.00343318159041
185,log(f_is),0.0636976540989,0.0,55.4868073357,0.00114797836022
186,log(v_is),0.0646225328296,0.0,49.0375283861,0.00131781790307
