country1,country2,mindist
TTO,PAK,12334.36095646
TTO,TJK,12305.3024096973
TTO,BGD,14707.9616061
TTO,BTN,14658.9417399032
TTO,BRN,18194.6457686714
TTO,JPN,13328.5006679625
TTO,PRK,13938.214342801499
TTO,PLW,17296.2151423888
TTO,PHL,16649.9149302402
TTO,KOR,14442.199978694
TTO,KHM,16722.0109350922
TTO,LAO,15866.412232656101
TTO,MMR,15075.8918934797
TTO,THA,15915.3093001651
TTO,VNM,15875.739380876299
TTO,MHL,14093.9598581979
TTO,FSM,14765.92219478
TTO,BWA,9518.699618600642
TTO,BDI,10064.9650027773
TTO,KEN,10465.3103811255
TTO,RWA,10042.935476389699
TTO,ZMB,9520.74923284955
TTO,ZWE,9965.84979753813
TTO,COM,11776.556271103402
TTO,LSO,10372.446144559599
TTO,MWI,10625.9179790394
TTO,MOZ,10432.5831265242
TTO,ZAF,9347.17144190822
TTO,SWZ,10688.375545569
TTO,AGO,8266.7805232411
TTO,COG,8145.3229942792705
TTO,COD,8304.78915168856
TTO,FJI,13295.4393609227
TTO,GAB,7803.172471330641
TTO,NAM,8553.67972385652
TTO,NZL,12724.201545081001
TTO,MDG,11891.4943325094
TTO,MUS,13344.3038198776
TTO,SYC,12984.6894807475
TTO,AUS,15329.038435607099
TTO,NRU,14527.3013331269
TTO,PNG,15852.301076940501
TTO,SLB,14774.9645343627
TTO,TUV,13326.683771150701
TTO,VUT,14418.6788416322
TTO,CAN,3637.4532954115
TTO,DEU,7452.78913903711
TTO,CHN,12653.277952333001
TTO,MYS,17150.1168579104
TTO,SGP,17846.448311565902
TTO,IDN,16820.5132604947
TTO,LBY,7519.00412709577
TTO,TCD,8055.9261454363
TTO,ISR,9874.14300775338
TTO,SYR,9910.37237052664
TTO,EGY,8996.35887888995
TTO,IND,13089.7949935061
TTO,USA,2543.30724497235
TTO,TZA,10145.735271077
TTO,MAR,4809.07778206193
TTO,MRT,4809.52598154812
VEN,GUY,0.0
VEN,SUR,305.30238941274797
VEN,TTO,23.901821103615998
VEN,VEN,0.0
VEN,WSM,11123.388824444899
VEN,TON,11581.8885201503
VEN,ARG,2478.38609631664
VEN,BOL,1141.07541536812
VEN,BRA,0.0
VEN,CHL,2045.9796658662801
VEN,ECU,868.511851310587
VEN,PRY,2278.8072025082397
VEN,PER,562.337817831456
VEN,URY,3508.8652035758696
VEN,GTM,1766.85491653308
VEN,MEX,1827.75973896377
VEN,BRB,362.105913558032
VEN,DMA,496.855209841144
VEN,GRD,141.238019046343
VEN,LCA,344.282473932719
VEN,VCT,275.871093921587
VEN,DOM,616.231363155808
VEN,HTI,672.22758068307
VEN,JAM,827.5899725679581
VEN,BHS,1025.70856014474
VEN,BLZ,1814.84187437498
VEN,COL,0.0
VEN,CRI,1009.8758477572198
VEN,CUB,959.544534730162
VEN,SLV,1634.8535973473001
VEN,HND,1230.37917033319
VEN,NIC,1141.5680749399498
VEN,PAN,439.9849033138901
VEN,ATG,681.063611437828
VEN,KNA,679.572812268254
VEN,ISL,6636.77797954166
VEN,IRL,6487.73402961328
VEN,GBR,6713.12231042356
VEN,CPV,3861.6894042115296
VEN,CIV,5651.86802205446
VEN,GHA,6241.1125249575
VEN,LBR,5329.9281374861
VEN,PRT,4384.9834839784
VEN,ESP,4872.56464233459
VEN,BFA,5960.684010693629
